index,unit2_pos,unit1_beam
231,"[0.2719731900880484, 0.3257292962739808]",12
232,"[0.27194942243860337, 0.31909304575659936]",12
233,"[0.27199695773749344, 0.313286326544067]",12
234,"[0.27206826068582857, 0.3083091386756782]",12
235,"[0.2721870989161659, 0.3041614820924912]",11
236,"[0.27232970481283614, 0.30084335683380053]",11
237,"[0.2724960783420636, 0.2991842941848079]",11
238,"[0.2724723106926185, 0.2980782524581074]",11
239,"[0.27230593716339113, 0.2980782524581074]",11
240,"[0.2719731900880484, 0.2991842941848079]",11
241,"[0.2714978371498113, 0.3015346329080766]",11
242,"[0.2708798783149039, 0.3048527582060618]",11
243,"[0.27009554593388113, 0.30927692519145306]",11
244,"[0.2707848077171237, 0.3059587999524096]",11
245,"[0.2704282930092239, 0.30872390432810276]",11
246,"[0.2701668488822163, 0.31148900872344315]",11
247,"[0.270024242985546, 0.3139776026576376]",11
248,"[0.2699767077035439, 0.31646619659183195]",11
249,"[0.270048010651879, 0.31867828010417487]",11
250,"[0.2701906165316613, 0.320752108405592]",11
251,"[0.27047582830811395, 0.3228259366677146]",11
252,"[0.2711888577239136, 0.3262823171766256]",11
253,"[0.2716404430295936, 0.3273883589229734]",12
254,"[0.27204449303638356, 0.32877091111081996]",12
255,"[0.27244854304317345, 0.33056822893144383]",12
256,"[0.27282882540051834, 0.3327803124437867]",12
257,"[0.27318534010841816, 0.33526890641727564]",12
258,"[0.2735418548332059, 0.33817226600389455]",12
259,"[0.2738746018916607, 0.34135213601236497]",12
260,"[0.2733754812870906, 0.3372044794684725]",12
261,"[0.27366069306354324, 0.3396930734026669]",12
262,"[0.2738270665927706, 0.3421816673761558]",12
263,"[0.27389836954110575, 0.34439375084920415]",12
264,"[0.2738508342422156, 0.3464675791506213]",12
265,"[0.2737082283624333, 0.3482648969908924]",12
266,"[0.27344678423542573, 0.34992395962023776]",12
267,"[0.27339924893653567, 0.3522742983435064]",12
268,"[0.27328041070619835, 0.353933360992499]",12
269,"[0.273137804826416, 0.3555924236021971]",13
270,"[0.27297143128030066, 0.3571132310009694]",13
271,"[0.2727812901016282, 0.35849578320846326]",13
272,"[0.27259114892295583, 0.3597400801853841]",13
273,"[0.27235347244539326, 0.3609843771623049]",13
274,"[0.27209202833527363, 0.36209041890865273]",13
275,"[0.2716404430295936, 0.36430250242099566]",13
276,"[0.2714978371498113, 0.3656850546088422]",13
277,"[0.27142653420147617, 0.36720586200761457]",14
278,"[0.27137899890258604, 0.3690031798675329]",14
279,"[0.2714027665520311, 0.370938752938377]",14
280,"[0.27145030185092117, 0.3731508364507199]",14
281,"[0.2715691400812585, 0.37550117517398857]",14
282,"[0.27171174597792874, 0.378128024338756]",14
283,"[0.27175928125993093, 0.3771602377836867]",14
284,"[0.27161667538014855, 0.37909581085453076]",14
285,"[0.27147406950036623, 0.3810313839450222]",14
286,"[0.271355231253141, 0.3833817226682908]",14
287,"[0.2712363930228037, 0.3857320613915594]",14
288,"[0.2711175547755785, 0.38849716576725263]",14
289,"[0.2710224841946862, 0.391262270162593]",14
290,"[0.2709511812463511, 0.39444214017106344]",15
291,"[0.2711175547755785, 0.39444214017106344]",15
292,"[0.2712839283216938, 0.3972072445664039]",15
293,"[0.27147406950036623, 0.4001106041530228]",15
294,"[0.27168797832848374, 0.403152218989862]",15
295,"[0.27192565480604625, 0.4063320890376269]",15
296,"[0.2721870989161659, 0.40965021429631765]",15
297,"[0.2724723106926185, 0.4131065947659341]",15
298,"[0.27266245187129096, 0.416286464813699]",15
299,"[0.2727812901016282, 0.41988110047459404]",15
300,"[0.2728050577510733, 0.42347573621407797]",15
301,"[0.2727337548196261, 0.42734688235576623]",16
302,"[0.27261491657240083, 0.43149453891930595]",16
303,"[0.2724010077442834, 0.43578045067412424]",16
304,"[0.27209202833527363, 0.44020461771845726]",16
305,"[0.27171174597792874, 0.44490529516499455]",17
306,"[0.27173551361048587, 0.4442140190710712]",17
307,"[0.27142653420147617, 0.4498824830530306]",17
308,"[0.27116509007446854, 0.4548596709607139]",17
309,"[0.2710224841946862, 0.4594220931570309]",17
310,"[0.27092741359690603, 0.46315498410744066]",17
311,"[0.27092741359690603, 0.4664731093464841]",17
312,"[0.27099871654524116, 0.4690999585112515]",18
313,"[0.27116509007446854, 0.47117378681266864]",18
314,"[0.2708323430160138, 0.47089727637116985]",19
315,"[0.27061843418789633, 0.473662380746863]",19
316,"[0.27030945476199864, 0.4754596986067814]",19
317,"[0.2698816371226516, 0.47642748514220346]",19
318,"[0.2693349812191914, 0.47642748514220346]",19
319,"[0.26869325473483896, 0.47559795381770714]",19
320,"[0.2679326900201492, 0.47380063595778876]",19
321,"[0.2691210723910739, 0.4760127194701317]",19
322,"[0.26857441650450165, 0.47615097468105744]",19
323,"[0.27054713123956114, 0.47684225079462794]",19
324,"[0.2730902695275259, 0.4773952716776255]",19
325,"[0.2766791842897451, 0.47808654775190157]",19
326,"[0.2812901079105495, 0.4789160790763978]",19
327,"[0.28694680800560834, 0.47974561040089414]",19
328,"[0.2879688168473057, 0.4794690999397481]",19
329,"[0.2941484051963797, 0.4794690999397481]",19
330,"[0.2997575699925485, 0.4783630581934003]",19
331,"[0.30474877597069777, 0.4760127194701317]",19
332,"[0.30916955839594185, 0.4725563390201625]",19
333,"[0.31299614963572353, 0.46785566153433067]",19
334,"[0.3162285496900429, 0.46204894234144556]",19
335,"[0.3188905262083449, 0.4551361813825654]",17
336,"[0.3207206350636221, 0.4472556339079104]",17
337,"[0.3222417645098895, 0.4384072998585389]",17
338,"[0.3237628939561569, 0.42914420017639004]",17
339,"[0.32526025573609135, 0.419466334861464]",16
340,"[0.3267813851823588, 0.40937370383517163]",15
341,"[0.3282787469622932, 0.3988663071957492]",15
342,"[0.3297998764085606, 0.3879441448646078]",15
343,"[0.33129723820538304, 0.3766072169203364]",15
344,"[0.3328183676347625, 0.36623807549183973]",14
345,"[0.3350049911979395, 0.35697497579004367]",14
346,"[0.33676379712176946, 0.349370938717593]",14
347,"[0.33811855302192156, 0.3438407299858539]",13
348,"[0.3390454912827266, 0.3401078390747387]",13
349,"[0.3395683795198538, 0.33817226600389455]",12
350,"[0.33968721776707905, 0.33817226600389455]",12
351,"[0.3394020059906264, 0.337480989890324]",12
352,"[0.33868897655793884, 0.34149039126258524]",12
353,"[0.3382373912522588, 0.34563804784577223]",12
354,"[0.33799971479158425, 0.349785704409312]",12
355,"[0.3380234824410293, 0.3542098714143505]",12
356,"[0.3382611589185918, 0.35877229364996205]",12
357,"[0.33873651185682896, 0.36347297109649934]",12
358,"[0.33873651185682896, 0.3638877367685711]",13
359,"[0.339211864811954, 0.3673441172185403]",13
360,"[0.33966345010074606, 0.3710770081493028]",13
361,"[0.34013880305587113, 0.37522466471284255]",14
362,"[0.34059038836155114, 0.37964883175717556]",14
363,"[0.34104197366723116, 0.3844877644146386]",14
364,"[0.34151732662235623, 0.3896032075136004]",14
365,"[0.3422541236876009, 0.3959629475698358]",15
366,"[0.34211151780781857, 0.4030139637789362]",15
367,"[0.3416837001515836, 0.40937370383517163]",15
368,"[0.34094690306945097, 0.4149039126062052]",15
369,"[0.3399486618771987, 0.41974284526366823]",15
370,"[0.3386414412759367, 0.4238905018468552]",15
371,"[0.33702524124877703, 0.42734688235576623]",15
372,"[0.3362646765171993, 0.4301119867314594]",16
373,"[0.3343870323630321, 0.42845292408246677]",16
374,"[0.33329372058988754, 0.4265173510312699]",16
375,"[0.3329372058819877, 0.42430526751892705]",16
376,"[0.33334125588877767, 0.4218166735847326]",16
377,"[0.3345058706102573, 0.419189824400318]",16
378,"[0.33643105004642676, 0.41614820960277327]",16
379,"[0.33911679421417384, 0.4128300843440826]",16
380,"[0.342753244292171, 0.4113092769453102]",15
381,"[0.3464609972847275, 0.4103414903705937]",15
382,"[0.3495032561603744, 0.4099267247378164]",15
383,"[0.35195132385055894, 0.4103414903705937]",15
384,"[0.35373389742383393, 0.411447532156236]",15
385,"[0.35492227979475865, 0.4131065947659341]",15
386,"[0.35544516803188586, 0.41559518871977574]",15
387,"[0.3553500974509936, 0.41877505874789345]",15
388,"[0.35456576508685883, 0.4151804230673512]",15
389,"[0.35223653562701157, 0.41725425132947386]",15
390,"[0.34862385321534733, 0.4204341213772388]",15
391,"[0.34738793554553254, 0.4215401631235866]",15
392,"[0.3465085325836176, 0.42223143923715717]",16
393,"[0.3459856443464904, 0.4225079496590087]",16
394,"[0.3461995531746078, 0.4236139914250037]",16
395,"[0.3458430384498201, 0.42347573621407797]",16
396,"[0.3461757855251628, 0.4230609705616534]",16
397,"[0.347126491418525, 0.4223696944480829]",16
398,"[0.34874269144568465, 0.42140190791266086]",16
399,"[0.35102438560664184, 0.42015761093574]",15
400,"[0.35394780625195144, 0.4186368035369677]",15
401,"[0.35751295336472555, 0.4168394856770493]",15
402,"[0.3608404240168251, 0.41559518871977574]",15
403,"[0.3696819888842012, 0.4142126365319292]",15
404,"[0.3786423919819145, 0.4124153186720108]",15
405,"[0.3877454009594102, 0.41006497994874214]",15
406,"[0.39699101583357616, 0.4071616203621232]",15
407,"[0.40637923658752445, 0.403843495064138]",15
408,"[0.4159100632212551, 0.4001106041530228]",15
409,"[0.41222607786125576, 0.4001106041530228]",15
410,"[0.4136996720086331, 0.3977602654297542]",15
411,"[0.4133669249501783, 0.39554818195670577]",15
412,"[0.4112040690195584, 0.3936126088465672]",15
413,"[0.4071873366011043, 0.3916770357953703]",15
414,"[0.40134049531048505, 0.39015622839659797]",15
415,"[0.3936635451814766, 0.3886354209781784]",15
416,"[0.384156486197191, 0.3873911240012575]",15
417,"[0.37868992726391665, 0.38600857181341097]",14
418,"[0.3664733564624389, 0.38434950920371286]",15
419,"[0.35649094452302826, 0.3832434674180705]",14
420,"[0.34874269144568465, 0.3825521913437945]",14
421,"[0.34325236487985317, 0.38213742569137]",14
422,"[0.3400199648255338, 0.38213742569137]",14
423,"[0.3390217236332816, 0.3825521913437945]",14
424,"[0.3388078148051641, 0.381860915230224]",14
425,"[0.3354328088541745, 0.38172266001929817]",14
426,"[0.3334363264696699, 0.3815844048083724]",14
427,"[0.3328659029336526, 0.38144614957779943]",14
428,"[0.3336977705966775, 0.3813078943668737]",14
429,"[0.33593192945874456, 0.3811696391559479]",15
430,"[0.3395683795198538, 0.3808931286948019]",14
431,"[0.34460712078000527, 0.38075487348387616]",14
432,"[0.35727527688716304, 0.3803401078314516]",14
433,"[0.3671863858951265, 0.37992534217902707]",14
434,"[0.37595664781416743, 0.3795105765462498]",14
435,"[0.3836098302937308, 0.3792340660851038]",14
436,"[0.3901221657012596, 0.37881930043267925]",14
437,"[0.3955174216861988, 0.37854278997153323]",14
438,"[0.39979559823166055, 0.3782662795496817]",14
439,"[0.40293292770508765, 0.37798976910818294]",14
440,"[0.40307553358486997, 0.377713258647037]",14
441,"[0.4012929600284829, 0.3768837273618351]",14
442,"[0.39644435993011595, 0.37674547215090937]",14
443,"[0.38850596567409995, 0.3768837273618351]",14
444,"[0.3775015448929919, 0.377713258647037]",14
445,"[0.3633835622879019, 0.378957555643605]",14
446,"[0.3461995531746078, 0.38075487348387616]",14
447,"[0.366520891761329, 0.37992534217902707]",14
448,"[0.35865380045364814, 0.3800635973703056]",14
449,"[0.3505252650020717, 0.38144614957779943]",14
450,"[0.3420877501583735, 0.3842112539534926]",14
451,"[0.3333887911707798, 0.3880824000755336]",14
452,"[0.32440462042362145, 0.3933360984443629]",15
453,"[0.3151590055663434, 0.3998340937311713]",15
454,"[0.3056281789157248, 0.40757638599490054]",15
455,"[0.308385226031807, 0.407991151647325]",15
456,"[0.30484384655159, 0.41269182913315683]",15
457,"[0.3023720112119604, 0.4165629752551978]",15
458,"[0.3009934876623633, 0.41960459007238976]",15
459,"[0.3006845082364656, 0.4218166735847326]",15
460,"[0.3014688406174883, 0.42319922577257924]",16
461,"[0.30334648477165554, 0.4238905018468552]",16
462,"[0.3055568759842776, 0.4248582883822773]",16
463,"[0.31249702904804133, 0.42527305403470184]",16
464,"[0.31908066738701735, 0.42582607493734664]",16
465,"[0.3252840233855364, 0.4265173510312699]",16
466,"[0.3311546323087127, 0.427485137566692]",16
467,"[0.3366449588745442, 0.42859117933268703]",17
468,"[0.34655606788250765, 0.43107977326688146]",16
469,"[0.3490992061535845, 0.43190930455208326]",16
470,"[0.34966962970648974, 0.43190930455208326]",17
471,"[0.3499073061671643, 0.4306650075948097]",17
472,"[0.3498360032357171, 0.4280381584300423]",17
473,"[0.34940818557948217, 0.42430526751892705]",16
474,"[0.34867138851423746, 0.4193280796505382]",16
475,"[0.347578076724205, 0.4131065947659341]",16
476,"[0.3461757855251628, 0.4056408129240564]",15
477,"[0.34548652374192024, 0.3985897967542505]",15
478,"[0.3447259590272305, 0.38683810313790723]",15
479,"[0.3442030707732154, 0.37633070645919037]",15
480,"[0.3439178590136507, 0.3669293515661158]",14
481,"[0.34387032371476056, 0.358634038419389]",14
482,"[0.344060464893433, 0.3514447670190101]",14
483,"[0.344488282549668, 0.3453615373846262]",14
484,"[0.34425060607210545, 0.3442554956382784]",14
485,"[0.34377525311698043, 0.3437024747749281]",14
486,"[0.3432048295809631, 0.34342596431378214]",13
487,"[0.34256310309661064, 0.34356421956400235]",13
488,"[0.34182630603136593, 0.34397898519677966]",13
489,"[0.3409944383683411, 0.3448085165212759]",13
490,"[0.340091267773869, 0.3460528134981968]",13
491,"[0.33911679421417384, 0.34757362089696914]",12
492,"[0.3374768265375691, 0.3495091939678132]",12
493,"[0.3366211912419871, 0.3492326835066672]",12
494,"[0.3357655559295172, 0.349785704409312]",12
495,"[0.3349336882664923, 0.35116825661680584]",12
496,"[0.3340780529540224, 0.3533803400898542]",12
497,"[0.3332224176415524, 0.35642195492669343]",13
498,"[0.3323667823290825, 0.36043135625966016]",13
499,"[0.3315111470335005, 0.36513203370619746]",13
500,"[0.3315111470335005, 0.36527028895641767]",14
501,"[0.33053667347380533, 0.3730125812004997]",14
502,"[0.3296572705287783, 0.3800635973703056]",14
503,"[0.32889670579720065, 0.3865615926767612]",14
504,"[0.32823121168029107, 0.39236831190894084]",14
505,"[0.3276607881273858, 0.3976220102188284]",14
506,"[0.3272092028385937, 0.4021844324544399]",15
507,"[0.32685268811380597, 0.4060555785961282]",15
508,"[0.3263773351755689, 0.4103414903705937]",15
509,"[0.32575937634066143, 0.41697774088797507]",15
510,"[0.3253077910349815, 0.4226462048699344]",15
511,"[0.3249988116090838, 0.427485137566692]",15
512,"[0.3248324380798564, 0.4313562837083802]",15
513,"[0.3248324380798564, 0.4342596432753519]",16
514,"[0.3249512763270816, 0.43619521636584324]",16
515,"[0.3252364880866463, 0.43730125811219106]",17
516,"[0.32452345867084664, 0.43674823724884076]",17
517,"[0.324214479244949, 0.44200193555872835]",17
518,"[0.32402433806627656, 0.44753214432976196]",17
519,"[0.32397680276738644, 0.4534771187728673]",17
520,"[0.3240481057157216, 0.4598368588291027]",17
521,"[0.32426201454383907, 0.46674961978798285]",18
522,"[0.3246185292517389, 0.473938891208009]",18
523,"[0.3253315586844265, 0.4869348817816258]",19
524,"[0.3257356086912164, 0.49440066360385626]",19
525,"[0.3260683557496712, 0.502004700676307]",19
526,"[0.3264011028250139, 0.5097469929400362]",19
527,"[0.3266625469351335, 0.5176275404343385]",20
528,"[0.3269002234126961, 0.5256463431395665]",20
529,"[0.32709036459136853, 0.5338034010753674]",20
530,"[0.3272567381205959, 0.5420987142024469]",20
531,"[0.32739934401726617, 0.5426517351050917]",20
532,"[0.3271378998902586, 0.5480436886455523]",20
533,"[0.3267576175329137, 0.5517765795566675]",21
534,"[0.3263060322272337, 0.5539886630690104]",22
535,"[0.3257831439901065, 0.5546799391432864]",22
536,"[0.32518895280464416, 0.5537121526275116]",22
537,"[0.3244759233719566, 0.5513618138845957]",22
538,"[0.3237153586572668, 0.5473524125319817]",22
539,"[0.32243190568856195, 0.5386423337328304]",21
540,"[0.3218852498019897, 0.534356421958365]",21
